acidite	chlorides	sucre	sulphates	alcool
7.6	0.11	33.0	73.0	12.17
7.8	0.10400000000000001	12.0	47.0	12.19
8.2	0.073	25.0	60.0	12.29
6.6	0.115	21.0	31.0	12.45
7.3	0.08	7.0	35.0	12.33
7.0	0.083	13.0	28.0	12.52
7.1	0.083	8.0	29.0	12.67
8.2	0.08	12.0	57.0	12.3
7.2	0.166	4.0	11.0	12.39
7.2	0.09699999999999999	14.0	38.0	12.37
9.9	0.09699999999999999	6.0	19.0	12.27
7.2	0.07400000000000001	24.0	44.0	12.4
6.9	0.078	18.0	30.0	12.4
10.0	0.077	11.0	19.0	12.23
6.1	0.069	26.0	46.0	12.47
8.4	0.11199999999999999	12.0	90.0	12.2
6.9	0.243	5.5	48.0	12.4
12.9	0.07200000000000001	7.0	24.0	12.09
7.0	0.067	40.0	63.0	12.6
7.4	0.07	36.0	121.0	12.37
13.3	0.07	15.0	40.0	12.06
