genre	groupe	age	experience	participation	participationSpecialite
"Jérôme Nury"	0	j_LR	49	5	0.13	0.20
"Valérie Bazin-Malgras"	1	j_LR	52	5	0.15	0.20
"Marc Le Fur"	0	j_LR	65	20	0.19	0.20
"Jean-Luc Bourgeaux"	0	j_LR	59	2	0.13	0.21
"Geneviève Levy"	1	j_LR	74	20	0.08	0.22
"Sandra Boëlle"	1	j_LR	60	2	0.20	0.22
"Didier Quentin"	0	j_LR	75	20	0.05	0.23
"Anne-Laure Blin"	1	j_LR	38	2	0.16	0.23
"Bernard Perrut"	0	j_LR	65	20	0.11	0.24
"Xavier Breton"	0	j_LR	59	15	0.14	0.24
"Robert Therry"	0	j_LR	74	2	0.14	0.24
"Jean-Claude Bouchet"	0	j_LR	64	15	0.07	0.25
"Aurélien Pradié"	0	j_LR	36	5	0.12	0.25
"Charles de la Verpillière"	0	j_LR	67	15	0.12	0.26
"Josiane Corneloup"	1	j_LR	62	5	0.15	0.26
"Laurence Trastour-Isnart"	1	j_LR	50	5	0.17	0.26
"Sébastien Huyghe"	0	j_LR	52	20	0.11	0.27
"Victor Habert-Dassault"	0	j_LR	29	2	0.13	0.27
"Jean-Carles Grelier"	0	j_LR	56	5	0.08	0.28
"Éric Diard"	0	j_LR	56	15	0.13	0.28
"Guillaume Larrivé"	0	j_LR	45	10	0.12	0.29
"Gérard Cherpion"	0	j_LR	74	20	0.14	0.29
"Fabien Di Filippo"	0	j_LR	35	5	0.26	0.29
"Fabrice Brun"	0	j_LR	54	5	0.15	0.30
"Isabelle Valentin"	1	j_LR	60	5	0.23	0.30
"Éric Ciotti"	0	j_LR	56	15	0.13	0.31
"Gérard Menuel"	0	j_LR	69	11	0.09	0.33
"Pierre Vatin"	0	j_LR	54	5	0.24	0.35
"Emmanuelle Anthoine"	1	j_LR	57	5	0.28	0.36
"Ian Boucard"	0	j_LR	33	5	0.16	0.37
"Stéphane Viry"	0	j_LR	52	5	0.17	0.37
"Émilie Bonnivard"	1	j_LR	41	5	0.20	0.37
"Jean-Pierre Door"	0	j_LR	80	20	0.12	0.38
"Michel Herbillon"	0	j_LR	71	20	0.07	0.39
"Marianne Dubois"	1	j_LR	64	12	0.08	0.39
"Raphaël Schellenberger"	0	j_LR	32	5	0.16	0.39
"Philippe Gosselin"	0	j_LR	55	15	0.20	0.40
"Bérengère Poletti"	1	j_LR	62	20	0.08	0.41
"Antoine Savignat"	0	j_LR	46	4	0.14	0.43
"Jean-Jacques Ferrara"	0	j_LR	54	5	0.08	0.48
"Frédéric Reiss"	0	j_LR	72	20	0.24	0.49
"Brigitte Kuster"	1	j_LR	63	5	0.32	0.50
"Jean-Yves Bony"	0	j_LR	67	8	0.19	0.51
"Marie-Christine Dalloz"	1	j_LR	64	15	0.24	0.52
"Valérie Beauvais"	1	j_LR	59	5	0.29	0.52
"Thibault Bazin"	0	j_LR	37	5	0.36	0.52
"Jean-Marie Sermier"	0	j_LR	61	20	0.14	0.53
"Constance Le Grip"	1	j_LR	61	5	0.26	0.59
"Vincent Descoeur"	0	j_LR	59	10	0.22	0.60
"Véronique Louwagie"	1	j_LR	61	10	0.25	0.60
"Alain Ramadier"	0	j_LR	63	5	0.45	0.60
"Maxime Minot"	0	j_LR	34	5	0.34	0.64
"Sylvain Brial"	0	e_LT	57	4	0.02	0.00
"Sébastien Nadot"	0	e_LT	49	5	0.05	0.05
"Jean Lassalle"	0	e_LT	66	20	0.09	0.05
"Bertrand Pancher"	0	e_LT	63	15	0.10	0.12
"Jean-Michel Clément"	0	e_LT	67	15	0.06	0.13
"Olivier Falorni"	0	e_LT	50	10	0.08	0.13
"Benoit Simian"	0	e_LT	38	5	0.09	0.15
"Jennifer De Temmerman"	1	e_LT	45	5	0.15	0.15
"Jean-Félix Acquaviva"	0	e_LT	49	5	0.11	0.19
"Sylvia Pinel"	1	e_LT	44	11	0.29	0.24
"Michel Castellani"	0	e_LT	76	5	0.19	0.30
"Stéphanie Kerbarh"	1	e_LT	46	5	0.13	0.34
"Paul-André Colombani"	0	e_LT	54	5	0.10	0.35
"Jeanine Dubié"	1	e_LT	64	10	0.21	0.35
"Paul Molac"	0	e_LT	59	10	0.20	0.38
"Charles de Courson"	0	e_LT	70	20	0.15	0.39
"François-Michel Lambert"	0	e_LT	55	10	0.12	0.47
"Frédérique Dumas"	1	e_LT	58	5	0.17	0.68
"Myriane Houplain"	1	k_NI_D	75	1	0.24	0.01
"Guillaume Peltier"	0	k_NI_D	45	5	0.05	0.03
"Marine Le Pen"	1	k_NI_D	53	5	0.09	0.06
"Sébastien Chenu"	0	k_NI_D	49	5	0.13	0.07
"Bruno Bilde"	0	k_NI_D	45	5	0.11	0.10
"Paula Forteza"	1	a_NI_G	35	5	0.09	0.13
"Joachim Son-Forget"	0	a_NI_G	39	5	0.07	0.14
"Matthieu Orphelin"	0	a_NI_G	49	5	0.17	0.15
"Nicolas Meizonnet"	0	k_NI_D	38	2	0.28	0.19
"Hubert Julien-Laferrière"	0	a_NI_G	56	5	0.13	0.20
"Aurélien Taché"	0	a_NI_G	37	5	0.07	0.21
"Delphine Batho"	1	a_NI_G	49	14	0.11	0.21
"Guillaume Chiche"	0	a_NI_G	36	5	0.14	0.21
"Nicolas Dupont-Aignan"	0	k_NI_D	61	20	0.07	0.23
"Marie-France Lorho"	1	k_NI_D	57	5	0.15	0.25
"Cédric Villani"	0	a_NI_G	48	5	0.12	0.27
"Émilie Cariou"	1	a_NI_G	50	5	0.24	0.52
"Martine Wonner"	1	a_NI_G	58	5	0.26	0.52
"Delphine Bagarry"	1	a_NI_G	52	5	0.24	0.60
"Albane Gaillot"	1	a_NI_G	50	5	0.31	0.62
"Catherine Pujol"	1	k_NI_D	62	2	0.14	0.69
"Emmanuelle Ménard"	1	k_NI_D	53	5	0.63	0.72
"Philippe Naillet"	0	d_SOC	61	3	0.23	0.00
"Jérôme Lambert"	0	d_SOC	64	20	0.08	0.12
"Guillaume Garot"	0	d_SOC	55	13	0.16	0.14
"Olivier Faure"	0	d_SOC	53	10	0.13	0.16
"Marie-Noëlle Battistel"	1	d_SOC	65	12	0.23	0.26
"David Habib"	0	d_SOC	61	20	0.13	0.27
"Valérie Rabault"	1	d_SOC	49	10	0.19	0.28
"Claudia Rouaux"	1	d_SOC	58	2	0.15	0.29
"Hervé Saulignac"	0	d_SOC	51	5	0.17	0.29
"Hélène Vainqueur-Christophe"	1	d_SOC	65	7	0.10	0.30
"Josette Manin"	1	d_SOC	72	5	0.16	0.30
"Marietta Karamanli"	1	d_SOC	57	15	0.12	0.32
"Sylvie Tolmont"	1	d_SOC	59	9	0.16	0.37
"Dominique Potier"	0	d_SOC	58	10	0.23	0.37
"Cécile Untermaier"	1	d_SOC	70	10	0.16	0.40
"Laurence Dumont"	1	d_SOC	63	15	0.11	0.41
"Boris Vallaud"	0	d_SOC	46	5	0.22	0.43
"Joël Aviragnet"	0	d_SOC	65	6	0.15	0.44
"Isabelle Santiago"	1	d_SOC	56	2	0.19	0.44
"Jean-Louis Bricout"	0	d_SOC	64	10	0.24	0.45
"Régis Juanico"	0	d_SOC	50	15	0.19	0.46
"Christian Hutin"	0	d_SOC	61	15	0.08	0.48
"Christine Pires Beaune"	1	d_SOC	57	10	0.28	0.51
"Gisèle Biémouret"	1	d_SOC	69	15	0.18	0.55
"Chantal Jourdan"	1	d_SOC	63	2	0.26	0.55
"Gérard Leseul"	0	d_SOC	61	2	0.35	0.58
"Michèle Victory"	1	d_SOC	63	4	0.20	0.60
"Lamia El Aaraje"	1	d_SOC	35	2	0.28	0.61
"Alain David"	0	d_SOC	72	5	0.22	0.62
"Sophie Métadier"	1	i_UDI	61	2	0.09	0.00
"André Villiers"	0	i_UDI	67	5	0.06	0.04
"Jean-Luc Warsmann"	0	i_UDI	56	20	0.03	0.05
"Michel Zumkeller"	0	i_UDI	56	20	0.08	0.06
"Yannick Favennec-Bécot"	0	i_UDI	63	20	0.13	0.07
"Meyer Habib"	0	i_UDI	61	9	0.06	0.09
"Pierre Morel-À-L'Huissier"	0	i_UDI	63	20	0.07	0.13
"Nicole Sanquer"	1	i_UDI	49	5	0.08	0.14
"Christophe Naegelen"	0	i_UDI	38	5	0.13	0.14
"Philippe Dunoyer"	0	i_UDI	54	5	0.08	0.15
"Philippe Gomès"	0	i_UDI	63	10	0.04	0.16
"Grégory Labille"	0	i_UDI	53	2	0.15	0.21
"Jean-Christophe Lagarde"	0	i_UDI	54	20	0.11	0.25
"Guy Bricout"	0	i_UDI	78	5	0.10	0.32
"Thierry Benoit"	0	i_UDI	55	15	0.32	0.43
"Pascal Brindeau"	0	i_UDI	47	5	0.20	0.46
"Agnès Thill"	1	i_UDI	57	5	0.26	0.57
"Béatrice Descamps"	1	i_UDI	61	5	0.17	0.67
"Valérie Six"	1	i_UDI	59	2	0.21	0.70
